[['geen_match_match_1', 1],'DashedSentence', {s: 'De professor besprak met geen enkele vriend de nieuwe resultaten die periode.    \n    De hele week lag hij met zeer hevige koorts op bed.'}, 'Question', {q: 'Wie lag er met koorts op bed?', as:['professor ', 'vriend '] }],
[['geen_mis_mis_1',1],'DashedSentence', {s: 'De professor besprak met geen enkele vriend de nieuwe resultaten die periode.    \n    De hele week lag zij met zeer hevige koorts op bed.'}, 'Question', {q: 'Wie lag er met koorts op bed?', as:['professor ', 'vriend '] }],
[['geen_mis_match_1',1],'DashedSentence', {s: 'De professor besprak met geen enkele vriendin de nieuwe resultaten die periode.    \n    De hele week lag hij met zeer hevige koorts op bed.'}, 'Question', {q: 'Wie lag er met koorts op bed?', as:['professor ', 'vriendin '] }],
[['geen_match_mis_1',1],'DashedSentence', {s: 'De professor besprak met geen enkele vriendin de nieuwe resultaten die periode.    \n    De hele week lag zij met zeer hevige koorts op bed.'}, 'Question', {q: 'Wie lag er met koorts op bed?', as:['professor ', 'vriendin '] }],
[['een_match_match_1',1],'DashedSentence', {s: 'De professor besprak met een vriend de nieuwe resultaten die periode.    \n    De hele week lag hij met zeer hevige koorts op bed.'}, 'Question', {q: 'Wie lag er met koorts op bed?', as:['professor ', 'vriend '] }],
[['een_mis_mis_1',1],'DashedSentence', {s: 'De professor besprak met een vriend de nieuwe resultaten die periode.    \n    De hele week lag zij met zeer hevige koorts op bed.'}, 'Question', {q: 'Wie lag er met koorts op bed?', as:['professor ', 'vriend '] }],
[['een_mis_match_1',1],'DashedSentence', {s: 'De professor besprak met een vriendin de nieuwe resultaten die periode.    \n    De hele week lag hij met zeer hevige koorts op bed.'}, 'Question', {q: 'Wie lag er met koorts op bed?', as:['professor ', 'vriendin '] }],
[['een_match_mis_1',1],'DashedSentence', {s: 'De professor besprak met een vriendin de nieuwe resultaten die periode.    \n    De hele week lag zij met zeer hevige koorts op bed.'}, 'Question', {q: 'Wie lag er met koorts op bed?', as:['professor ', 'vriendin '] }],
[['geen_match_match_2',2],'DashedSentence', {s: 'De dokter maakte met geen enkele logopedist een praatje die dag.     \n    Zoals wel vaker ging hij helemaal op in het werk.'}, 'Question', {q: 'Wie ging er helemaal op in het werk?', as:['dokter ', 'logopedist '] }],
[['geen_mis_mis_2',2],'DashedSentence', {s: 'De dokter maakte met geen enkele logopedist een praatje die dag.     \n    Zoals wel vaker ging zij helemaal op in het werk.'}, 'Question', {q: 'Wie ging er helemaal op in het werk?', as:['dokter ', 'logopedist '] }],
[['geen_mis_match_2',2],'DashedSentence', {s: 'De dokter maakte met geen enkele logopediste een praatje die dag.     \n    Zoals wel vaker ging hij helemaal op in het werk.'}, 'Question', {q: 'Wie ging er helemaal op in het werk?', as:['dokter ', 'logopediste '] }],
[['geen_match_mis_2',2],'DashedSentence', {s: 'De dokter maakte met geen enkele logopediste een praatje die dag.     \n    Zoals wel vaker ging zij helemaal op in het werk.'}, 'Question', {q: 'Wie ging er helemaal op in het werk?', as:['dokter ', 'logopediste '] }],
[['een_match_match_2',2],'DashedSentence', {s: 'De dokter maakte met een logopedist een praatje die dag.     \n    Zoals wel vaker ging hij helemaal op in het werk.'}, 'Question', {q: 'Wie ging er helemaal op in het werk?', as:['dokter ', 'logopedist '] }],
[['een_mis_mis_2',2],'DashedSentence', {s: 'De dokter maakte met een logopedist een praatje die dag.     \n    Zoals wel vaker ging zij helemaal op in het werk.'}, 'Question', {q: 'Wie ging er helemaal op in het werk?', as:['dokter ', 'logopedist '] }],
